Player Name,Position,Team,Rookie,SFValue,Value
Trevor Etienne,RB,CAR,No,1909,2364
Demario Douglas,WR,NEP,No,1908,2439
Ja'Tavion Sanders,TE,CAR,No,1908,2293
DJ Giddens,RB,IND,No,1905,2447
Darnell Washington,TE,PIT,No,1902,2225
Dont'e Thornton,WR,LVR,No,1892,2375
Deshaun Watson,QB,CLE,No,1890,931
Darnell Mooney,WR,NYG,No,1887,2292
Isaiah Davis,RB,NYJ,No,1881,2268
Bryce Lance,WR,NOS,Yes,1856,2238
2027 Early 4th,PI,PICK,No,1855,2178
Kirk Cousins,QB,LVR,No,1850,1256
Justin Fields,QB,KCC,No,1819,1903
Jalen Royals,WR,KCC,No,1816,2253
Brenen Thompson,WR,LAC,Yes,1808,2097
Devin Neal,RB,NOS,No,1807,2326
Will Howard,QB,PIT,No,1799,1557
Tyquan Thornton,WR,KCC,No,1798,2170
Christian Kirk,WR,SFO,No,1785,2191
Jalen Tolbert,WR,MIA,No,1775,2185
Calvin Ridley,WR,TEN,No,1771,2152
Brashard Smith,RB,KCC,No,1746,2170
2027 Mid 4th,PI,PICK,No,1741,2083
Emanuel Wilson,RB,SEA,No,1712,2124
Evan Engram,TE,DEN,No,1711,2016
2026 Early 4th,PI,PICK,No,1706,2030
2026 Mid 4th,PI,PICK,No,1703,1890
Kendre Miller,RB,NOS,No,1702,2019
Ben Sinnott,TE,WAS,No,1698,2068
Luke Musgrave,TE,GBP,No,1685,2063
Savion Williams,WR,GBP,No,1684,2072
Eli Heidenreich,RB,PIT,Yes,1684,1979
Cooper Kupp,WR,SEA,No,1661,1955
Treylon Burks,WR,WAS,No,1661,1979
Quinn Ewers,QB,MIA,No,1655,1515
Jahan Dotson,WR,ATL,No,1650,2013
Seth McGowan,RB,IND,Yes,1639,1894
Barion Brown,WR,NOS,Yes,1639,1967
George Holani,RB,SEA,No,1636,1918
2028 Early 4th,PI,PICK,No,1636,1936
James Conner,RB,ARI,No,1633,1992
2027 Late 4th,PI,PICK,No,1607,1873
Tahj Brooks,RB,CIN,No,1599,2116
Dawson Knox,TE,BUF,No,1598,1896
Erick All,TE,CIN,No,1596,1917
Cedric Tillman,WR,CLE,No,1595,2003
Joshua Palmer,WR,BUF,No,1585,1911
Xavier Hutchinson,WR,HOU,No,1585,1994
Andrei Iosivas,WR,CIN,No,1578,1935
Luke McCaffrey,WR,WAS,No,1564,1955
Justice Hill,RB,BAL,No,1535,1890
2026 Late 4th,PI,PICK,No,1527,1743
Joe Milton,QB,DAL,No,1527,1415
Chris Brooks,RB,GBP,No,1503,1765
Devaughn Vele,WR,NOS,No,1501,1709
Riley Leonard,QB,IND,No,1498,1144
Jarquez Hunter,RB,LAR,No,1498,1957
Malik Benson,WR,LVR,Yes,1493,1740
Darius Slayton,WR,NYG,No,1492,1809
Jimmy Horn,WR,CAR,No,1488,1893
Noah Gray,TE,KCC,No,1478,1694
Garrett Nussmeier,QB,KCC,Yes,1476,1417
2028 Mid 4th,PI,PICK,No,1470,1822
Tutu Atwell,WR,MIA,No,1467,1806
Mike Gesicki,TE,CIN,No,1456,1744
Jordan Whittington,WR,LAR,No,1451,1819
Spencer Rattler,QB,NOS,No,1431,1188
Will Shipley,RB,PHI,No,1416,1804
KeAndre Lambert-Smith,WR,LAC,No,1415,1787
Roschon Johnson,RB,CHI,No,1411,1694
Audric Estime,RB,NOS,No,1400,1754
Deion Burks,WR,IND,Yes,1399,1613
Malik Davis,RB,DAL,No,1384,1689
Taylen Green,QB,CLE,Yes,1379,172
Daniel Bellinger,TE,TEN,No,1367,1620
Devontez Walker,WR,BAL,No,1366,1695
Jalin Hyatt,WR,NYG,No,1353,1640
2028 Late 4th,PI,PICK,No,1352,1499
John Metchie,WR,CAR,No,1347,1653
Marquise Brown,WR,PHI,No,1339,1670
Calvin Austin III,WR,NYG,No,1329,1620
Tai Felton,WR,MIN,No,1323,1658
Noah Fant,TE,NOS,No,1314,1555
Cade Stover,TE,HOU,No,1314,1568
Damien Martinez,RB,GBP,No,1311,1710
Emari Demercado,RB,KCC,No,1305,1598
Isaac Guerendo,RB,SFO,No,1300,1656
Konata Mumpfield,WR,LAR,No,1298,1623
Jaleel McLaughlin,RB,DEN,No,1291,1577
Michael Trigg,TE,DAL,Yes,1287,1501
Tahj Washington,WR,MIA,No,1283,1523
Jordan Watkins,WR,SFO,No,1282,1515
Phil Mafah,RB,DAL,No,1277,1567
Tyler Higbee,TE,LAR,No,1268,1466
Dyami Brown,WR,WAS,No,1268,1563
Jahdae Walker,WR,CHI,No,1268,1424
Tyson Bagent,QB,CHI,No,1266,282
Ty Johnson,RB,BUF,No,1259,1583
Jerome Ford,RB,WAS,No,1259,1584
Olamide Zaccheaus,WR,ATL,No,1237,1488
Malachi Corley,WR,CLE,No,1236,1493
Rasheen Ali,RB,BAL,No,1236,1457
Elijah Moore,WR,PHI,No,1230,1485
Greg Dortch,WR,DET,No,1220,1445
Tommy Tremble,TE,CAR,No,1220,1489
